date,total_balance,pnl,daily_pct,equity,opened_bucket,active_buckets,invested_ratio,topk_generated,pnl_from_hold
2024-09-11,2039255.027939227,-5812.695692155743,-0.002842299853930639,2.0392550279392267,0,4,1.0,10,-5326.615999116504
2024-09-12,2041819.657129763,2564.629190535983,0.0012576304363106923,2.041819657129763,1,4,1.0,10,3087.0124199636048
2024-09-13,2062795.0888919877,20975.43176222476,0.010272911071740025,2.0627950888919875,2,4,1.0,10,21534.46053290466
2024-09-18,2084552.3859853055,21757.297093317844,0.010547483465749663,2.0845523859853055,3,4,1.0,10,22236.82577170024
2024-09-19,2111139.0212418744,26586.6352565689,0.012754121909007432,2.1111390212418746,0,4,1.0,10,27087.54507437744
2024-09-20,2134471.4862494883,23332.46500761388,0.01105207415184273,2.1344714862494882,1,4,1.0,10,23887.183780463296
2024-09-23,2237253.9211357743,102782.43488628604,0.04815357597813901,2.2372539211357743,2,4,1.0,10,103391.18005962129
2024-09-24,2267065.018912782,29811.097777007613,0.013324861114501289,2.267065018912782,3,4,1.0,10,30327.418815301382
2024-09-25,2404913.027707737,137848.00879495498,0.06080461197405924,2.404913027707737,0,4,1.0,10,138408.7732182438
2024-09-26,2537824.5749459416,132911.54723820463,0.0552666752214696,2.5378245749459416,1,4,1.0,10,133559.77103675203
2024-09-27,2818722.816454289,280898.24150834745,0.1106846565682464,2.8187228164542892,2,4,1.0,10,281650.1574253533
2024-09-30,3102803.6896828446,284080.87322855555,0.10078354337298935,3.1028036896828444,3,4,1.0,10,284785.6553452532
2024-10-08,2964568.690664852,-138234.99901799252,-0.04455164194809963,2.964568690664852,0,4,1.0,10,-137541.02150018886
2024-10-09,2896425.6192979263,-68143.07136692572,-0.022985829804349565,2.8964256192979265,1,4,1.0,10,-67390.13822373154
2024-10-10,2789184.746534839,-107240.87276308751,-0.037025246582745655,2.789184746534839,2,4,1.0,10,-106469.66509412718
2024-10-11,2867941.809878352,78757.06334351329,0.028236589003778838,2.867941809878352,3,4,1.0,10,79410.89079679549
2024-10-14,2799417.407186387,-68524.40269196499,-0.02389323327828313,2.7994174071863873,0,4,1.0,10,-67874.48500225786
2024-10-15,2821248.319165551,21830.911979163997,0.007798376877675277,2.821248319165551,1,4,1.0,10,22555.654204249848
2024-10-16,2827442.3873987105,6194.068233159371,0.0021955062200945887,2.8274423873987105,2,4,1.0,10,6980.476481386926
2024-10-17,3011046.21422361,183603.8268248993,0.06493636356418125,3.01104621422361,3,4,1.0,10,184262.97244951548
2024-10-18,3038910.148693131,27863.934469521046,0.009253904618898613,3.0389101486931307,0,4,1.0,10,28540.852967385552
2024-10-21,3001382.8618630376,-37527.286830093246,-0.012348929383855485,3.0013828618630374,1,4,1.0,10,-36727.580582568655
2024-10-22,2996683.476094823,-4699.385768214706,-0.001565740188606819,2.9966834760948227,2,4,1.0,10,-3849.348722425988
2024-10-23,2965206.8858429207,-31476.59025190212,-0.010503808794955332,2.9652068858429206,3,4,1.0,10,-30815.354964989237
2024-10-24,3023792.8613034403,58585.97546051955,0.01975780365958016,3.0237928613034404,0,4,1.0,10,59268.78117904486
2024-10-25,3052285.406466755,28492.54516331479,0.009422783394968647,3.0522854064667553,1,4,1.0,10,29306.90799701237
2024-10-28,3035625.937584759,-16659.468881995883,-0.005458031167957011,3.035625937584759,2,4,1.0,10,-15812.228542498779
2024-10-29,3009209.311844565,-26416.625740194228,-0.008702200562040307,3.009209311844565,3,4,1.0,10,-25745.575428029057
2024-10-30,3057448.745495757,48239.433651192114,0.016030600949331314,3.057448745495757,0,4,1.0,10,48912.200517517864
2024-10-31,3087028.9247090826,29580.179213325493,0.009674791525746133,3.0870289247090827,1,4,1.0,10,30415.679670344805
2024-11-01,3181636.448078521,94607.52336943848,0.030646788765788503,3.181636448078521,2,4,1.0,10,95498.4576476391
2024-11-04,3330934.0120374626,149297.5639589415,0.04692477170014395,3.3309340120374626,3,4,1.0,10,150035.30613657343
2024-11-05,3366542.639425738,35608.62738827523,0.010690283043612196,3.3665426394257376,0,4,1.0,10,36341.68085353717
